#Name	PubChem	Cetane
2-methyl-2-phenylpentadecane	520412	39
dibutyl azelate	18016	83
cyclooctane	9266	22.3
methyl linolenate	5319706	37
butyl decanoate	35408	54.6
propyl decanoate	121739	52.9
octyl oleate	94441	131
decanoic acid	2969	48
hexyl laurate	94454	74
"1,3,5-triisopropyl cyclohexane"	4583934	25.3
dipropylene glycol monomethyl ether	66984	43.9
"2,2,5-trimethylhexane"	19041	24
propyl stearate	77190	91
decyl laurate	119003	84
1-hexadecanol	2682	68
propyl laurate	77255	71
decyl oleate	5363234	134
propyl linoleate	53645533	42.5
"farnesane (2,6,10-trimethyldodecane)"	19773	58.55
decyl myristate	170588	72
hexyl myristate	170623	72
hexyl palmitate	162505	87
decyl palmitate	98603	91
"2,2,4,4,6,8,8-heptamethylnonane"	20414	14.65
3-cyclohexylhexane	20283	36
n-butyldecalin	145243	31
sec-butyldecalin	145244	34
tert-butyldecalin	141340	24
2-phenyltetradecane	20642	49
2-phenylundecane	20656	51
linolenic acid	5280934	20
"2,2,3-trimethylbutane"	10044	12.9
"1,2,4,5-tetramethylbenzene"	10263	1
"7,8-diethyltetradecane"	530299	67
linoleyl alcohol	5365682	44
linolenyl alcohol	6436081	41
1-butoxy-2-propanol	21210	36.1
octyl laurate	79185	84
trilinolein	5322095	32
trilaurin	10851	100
n-pentylbenzene	10864	8.5
ethyl pentanoate	10882	18.6
ethyl levulinate	10883	5
"2,2,4-trimethylpentane"	10907	18.04
diisoamylether	10989	96.3
ethyl linoleate	5282184	44.4
n-hexadecane	11006	100.5
octyl valerate	79545	49
tristearin	11146	85
tripalmitin	11147	89
trimyristin	11148	100
"2,3-dimethylpentane"	11260	22
stearic acid	5281	62
Perhydro-phenanthrene	21971	38.8
"2,6-dimethylnaphthalene"	11387	-7
butyl octanoate	11517	39.6
4-methyl-1-cyclohexene	11572	52
butyl pentanoate	61137	23.5
2-methylhexane	11582	43.5
2-methylheptane	11594	49.8
1-hexene	11597	25.8
1-heptene	11610	32
n-octadecane	11635	106.3
tributyrin	6050	-5
diethyl ether	3283	140
linoleic acid	5280450	31
5-butyldodecane	529854	45
3-ethylpentane	12048	34.1
diethyl azelate	12204	47
methyl pentanoate	12206	13.3
diethyl succinate	12329	15
diisobutylether	12346	59.7
1-heptyne	12350	22
ethyl palmitate	12366	93
2-nonanol	12367	39.6
n-tridecane	12388	89.5
n-tetradecane	12389	85.1
n-pentadecane	12391	96.5
hexadecyl acetate	12393	86
1-hexadecene	12395	75.9
n-heptadecane	12398	105
n-nonadecane	12401	110
tetradecyl acetate	12531	81
ethanol	702	7
isobutyl stearate	12588	99
methanol	887	3.33
methyl sorbate	5323650	6
dipentyl ether	12743	120.5
n-propanol	1031	12
n-butanol	263	12
1-pentanol	6276	18.2
benzene	241	14.3
"1,3,5-triisopropylbenzene"	12860	2.8
n-propane	6334	-20
t-butanol	6386	17
"2,2-dimethylbutane"	6403	24.4
methyl ricinoleate	5354133	37.4
2-phenyloctane	276115	33
isobutanol	6560	8.5
2-butanol	6568	8.5
.-pinene	6654	25
hexadecyl laurate	88709	88
1-undecene	13190	65.5
octadecyl acetate	69968	90
dihexyl phthalate	6786	48
dibutyl phthalate	3026	38
1-decene	13381	49.1
1-methylnaphthalene	7002	0
cis-decalin	7044	40.5
naphthalene	931	22
2-methylnaphthalene	7055	6
bicyclohexyl	7094	50.2
biphenyl	7095	21
"1,2-dimethylbenzene"	7237	8.3
"1,2,4-trimethylbenzene"	7247	8.9
diethyl oxalate	7268	21
3-methylpentane	7282	30
methylcyclopentane	7296	17.2
tert-butyl benzene	7366	0
isopropyl benzene	7406	7
m-diisopropylbenzene	7450	-3
1-methyl-4-isopropylbenzene	7463	4
bisabolene	3033866	32.2
isopentanol	31260	18.4
hexylmethyl ether	78484	99.8
methyl-9-decenoate	1778877	38.3
methyl gamma-linolenate	6439889	29.2
methyl alpha-linolenate	5319706	22.7
methyl-5(Z)8(z)11(Z)14(Z)-eicosatetraenoate	6421258	29.6
methyl gondoate	6438470	73.2
3-ethyldecane	529827	48
4-propyldecane	529908	39
7-butyltridecane	530347	70
8-propylpentadecane	530278	48
"5,6-dibutyldecane"	529909	30
8-propylpentadecane	530278	48
"9,10-dimethyloctadecane"	530173	60
7-hexylpentadecane	91342400	83
"9,10-dipropyloctadecane"	530183	47
9-heptylheptadecane	528546	88
n-propyldecalin	145229	45
n-octyldecalin	141998	31
2-cyclohexyl- tetradecane	15715	57
5-cyclohexyleicosane	311971	66
"2,6,7-trimethyl-2,6-tridecadiene"	102247765	24
n-propyltetralin	297000	8
7-phenyltridecane	16980	41
5-phenyleicosane	16983	39
diethoxybutane	77225	97
decyl valerate	79553	61
dodecyl valerate	545395	67
"anisole"	7519	6.4
"4-propylanisole"	7702	7
"Furan"	8029	7
"4-methyl anisole"	7731	7.4
"2-phenyl ethanol"	6054	8
"2-methyl furan"	10797	8.9
"cyclopentanone"	8452	9
"4-propylphenol"	12580	9
"3-pentanone (DEK)"	7288	10
"2-ethyl furan"	18554	10.2
"2-furfuryl alcohol"	7361	10.8
"2,5 dimethyl furan"	12266	11
"2-butyl furan"	20534	13.1
"2,4-dimethyl-3-pentanone (DIK)"	11271	14
"2,5 dihydrofuran"	15570	15.6
"1,2 dimethoxybenzene"	7043	17
