KRFP1004	[!#1][NH]c1[cH][cH][cH]c(Cl)[cH]1
KRFP1005	[!#1][NH]c1[cH][cH][cH]c(Cl)c1[CH3]
KRFP1006	[!#1][NH]c1[cH][cH][cH]c(Cl)c1Cl
KRFP1007	[!#1][NH]c1[cH][cH][cH]c(F)[cH]1
KRFP1008	[!#1][NH]c1[cH][cH][cH]c(O[!#1])[cH]1
KRFP1009	[!#1][NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KRFP101	[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1
KRFP1010	[!#1][NH]c1[cH][cH][cH]c2[cH][cH][cH]nc12
KRFP1011	[!#1][NH]c1[cH][cH][cH]c2c([NH][!#1])[cH][cH][cH]c12
KRFP1012	[!#1][NH]c1[cH][cH][cH]c2C(=O)c3[cH][cH][cH][cH]c3C(=O)c12
KRFP1013	[!#1][NH]c1[cH][cH]c([!#1])[cH][cH]1
KRFP1014	[!#1][NH]c1[cH][cH]c([!#1])[cH]c1[CH3]
KRFP1015	[!#1][NH]c1[cH][cH]c([!#1])[cH]c1[N+](=O)[O-]
KRFP1016	[!#1][NH]c1[cH][cH]c([!#1])c([cH]1)S(=O)(=O)c2[cH]c([NH][!#1])[cH][cH]c2[!#1]
KRFP1017	[!#1][NH]c1[cH][cH]c([CH]([!#1])[!#1])c([cH]1)S(=O)(=O)[OH]
KRFP1018	[!#1][NH]c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]
KRFP1019	[!#1][NH]c1[cH][cH]c([cH][cH]1)[CH]([CH3])[CH3]
KRFP102	[!#1][CH]([CH3])N([!#1])C(=O)[!#1]
KRFP1020	[!#1][NH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KRFP1021	[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[!#1]
KRFP1022	[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[CH3]
KRFP1023	[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KRFP1024	[!#1][NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KRFP1025	[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]
KRFP1026	[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])C(=O)[OH]
KRFP1027	[!#1][NH]c1[cH][cH]c([cH]c1C(=N[NH]C(=O)[CH2]O[!#1])C(=O)[!#1])[N+](=O)[O-]
KRFP1028	[!#1][NH]c1[cH][cH]c([CH2][CH2]c2[cH][cH][cH][cH]c2[!#1])c([NH][!#1])[cH]1
KRFP1029	[!#1][NH]c1[cH][cH]c([CH2]c2[cH][cH]c([NH][!#1])[cH][cH]2)[cH][cH]1
KRFP103	[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]
KRFP1030	[!#1][NH]c1[cH][cH]c([CH3])[cH][cH]1
KRFP1031	[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[CH3]
KRFP1032	[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[N+](=O)[O-]
KRFP1033	[!#1][NH]c1[cH][cH]c([CH3])c([cH]1)[N+](=O)[O-]
KRFP1034	[!#1][NH]c1[cH][cH]c([CH3])c([CH3])[cH]1
KRFP1035	[!#1][NH]c1[cH][cH]c([CH3])c([NH][!#1])[cH]1
KRFP1036	[!#1][NH]c1[cH][cH]c([N+](=O)[O-])c2nonc12
KRFP1037	[!#1][NH]c1[cH][cH]c([NH][!#1])[cH][cH]1
KRFP1038	[!#1][NH]c1[cH][cH]c([OH])[cH][cH]1
KRFP1039	[!#1][NH]c1[cH][cH]c(Br)[cH][cH]1
KRFP104	[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]
KRFP1040	[!#1][NH]c1[cH][cH]c(Br)[cH]c1C(=O)[!#1]
KRFP1041	[!#1][NH]c1[cH][cH]c(Br)[cH]n1
KRFP1042	[!#1][NH]c1[cH][cH]c(Cl)[cH][cH]1
KRFP1043	[!#1][NH]c1[cH][cH]c(Cl)[cH]c1[N+](=O)[O-]
KRFP1044	[!#1][NH]c1[cH][cH]c(Cl)[cH]c1C(=O)[!#1]
KRFP1045	[!#1][NH]c1[cH][cH]c(Cl)[cH]c1Cl
KRFP1046	[!#1][NH]c1[cH][cH]c(Cl)[cH]n1
KRFP1047	[!#1][NH]c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
KRFP1048	[!#1][NH]c1[cH][cH]c(Cl)c(Cl)[cH]1
KRFP1049	[!#1][NH]c1[cH][cH]c(F)[cH][cH]1
KRFP105	[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br
KRFP1050	[!#1][NH]c1[cH][cH]c(F)c(Cl)[cH]1
KRFP1051	[!#1][NH]c1[cH][cH]c(I)[cH][cH]1
KRFP1052	[!#1][NH]c1[cH][cH]c(N([!#1])[CH2][CH3])c2c([cH][cH][cH]c12)C(=O)[!#1]
KRFP1053	[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]1
